Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
1,"Maximus the Mad's Inescapable ""Kyln"" Space Prison",1,MicroDisney0505,57,24,81,1st,Yes (5.5),3rd,31 (6),1st,0 (7.5),2nd,2.613 (7),26,,33,2,Gamora (MCU),Drax (MCU),1/5,"Once I had enough attack cards, purposely failed the scheme. This gave Maximus no abomination.  Then just hit him over and over again."
,,2,Remington Chase,35,57,92,1st,Yes (5.5),6th,34 (3),3rd,1 (6),1st,2.706 (8),22.5,,22,6,Warlock,Gamora (MCU),4/5,"This setup was a blast. Warlock, Gamora, and Rocket&Groot pair well with one another. Mantis and Karma play great support roles and the Yaka Arrow made Karma even more of a powerhouse. Besides the one escape and not being as fast as I would have liked, I'm very proud of this score."
,,3,Montax30,57,20,77,1st,Yes (5.5),5th,33 (4),1st,0 (7.5),4th,2.333 (5),22,,37,2,Crystal,Queen Storm of Wakanda,5/5,Crystal and Queen Storm make a great team! My first run brought on a lot of early scheme twists. That made it extremely difficult to get enough attack to hit Maximus. Second run was pretty evenly matched with henchmen and other villians during the first turns. Abomination and empowered on villians were amazingly helpful throughout with this scheme.
,,4,Snash108 & SBPKECN,12,55,67,1st,Yes (5.5),1st,30 (7.5),4th,2 (5),5th,2.233 (4),22,,43,1,Drax (MCU),Sunspot,5/5,"Due to Schrodinger's Cat shenanigans, my wife was able to pick up Sunspot's rare for free as a result of fighting Lash. Due to the scheme effects that card was pretty much always an 8 attack card. Shredded Maximus to bits quite easily after acquiring that!!"
,,5,Loconnole & Klcgolf,38,39,77,1st,Yes (5.5),4th,32 (5),5th,3 (3.5),3rd,2.406 (6),20,,1,3,King Black Panther,Queen Storm of Wakanda,5/5,"The Mastermind,  villain groups and scheme combo ended up making for a very interesting game overall.  Our second game we didn't get near as many twists/strikes up front which really helped make some dynamic decks. Mantis rare was super clutch for us"
,,6,Guru Mike & MargaretWestlake,25,33,58,1st,Yes (5.5),1st,30 (7.5),7th,6 (1.5),6th,1.933 (3),17.5,,8,6,Gamora (MCU),Drax (MCU),3/5,The facedown heroes in the HQ made the Abominations easier to fight than usual.
,,7,caseystahl1125,47,39,86,7th,No (1.5),7th,48 (2),7th,6 (1.5),7th,1.792 (2),7,,8,5,White Wolf,King Black Panther,3/5,This game was a slog. I was keeping the imprisoned cards face down to keep Maximus at 8 hit points...I missed out but 1 hit point the last 3 turns and couldn't land final blow...last card in villian deck was scheme twist that ended game...my first play was a bloodbath and ended quickly.
,,8,hatephd,33,31,64,7th,No (1.5),8th,37 (1),5th,3 (3.5),8th,1.73 (1),7,,2,1,Sunspot,Wolfsbane,3/5,"You'd think this would nerf the MM and his VG, but it makes making efficient decks near impossible."
2,Magneto Saves Humanity,1,Mangostrike,46,15,61,1st,Yes (5),1st,21 (9),5th,1 (4.5),2nd,2.905 (8),26.5,,31,11,Angel,Wolverine (X-Men),3/5,"Wolverine/Angel drawing cards on once hand with Colossus/Hulk smashing wounds on the other was fun. Happy to have Magneto give me Woverine's rare for free, and then give it to me two turns in a row later on."
,,2,ItStartsWith1,33,30,63,1st,Yes (5),4th,25 (5.5),1st,0 (7.5),4th,2.52 (6),24,,3,4,Cyclops,Wolverine (X-Men),4/5,Cyc and Wolvie seemed like solid choices to have multiple ways to mitigate those wounds. And it worked quite well. Left hand was a Cyc heavy deck that just did what he does. Right was Colossus and Hulk pounding the crap out of everything. Wolvie supported everywhere. Hawkeye was… there.
,,3,Roy_Boy,26,24,50,1st,Yes (5),2nd,22 (8),1st,0 (7.5),7th,2.273 (3),23.5,,2,9,Domino,Nightcrawler,3/5,"Right side got early Versatile and Nightcrawler's red and uncommon, activating the uncommon almost every shuffle (also thanks to an early Juggernaut Ambush). No sidekicks makes me waste a lot of money late game lol. Left went Hulk/Hawkeye, worked alright. Didn't see a single green card all game. Only 2 bystanders KO'd.

Game 2 went... poorly. Hulk and Colossus showed up just enough to give out a bunch of wounds. Drew a lot more bystanders and fewer Instinct heroes.

The setup was fine, I decided that one X-Men hero would be enough (especially since he Teleports), and discarding down to 4 isn't that bad. Facing Magneto made me opt for a fast game, which I enjoyed."
,,4,Enoc & Rowan,37,41,78,1st,Yes (5),7th,27 (2.5),1st,0 (7.5),3rd,2.889 (7),22,,4,12,Iceman,Professor X,4/5,Got lucky with scheme twists
,,5,Redblock,31,27,58,1st,Yes (5),3rd,24 (7),7th,2 (2.5),5th,2.417 (5),19.5,,4,7,Wolverine (X-Men),Cyclops,4/5,"Magneto seems weak, but you really need X-men to face him"
