Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,
30,Emma Frost Corrupts the Spy Agencies,1,MicroDisney0505,62,22,84,1st,Yes (1.5),2nd,19 (1),1st,0 (1.5),1st,4.421 (2),6,,40,2,Black Widow (S.H.I.E.L.D.),Mirage,5,5/5,"First 2 turns had a scheme twist and Masterstrike., glad they both did nothing. Multiple man really helped thin the decks.
I found 2 ways to get infinite attack in this game. Both involve dodge.1 With Yelena have and play Strike and Fade, then dogde Twilight Ops to get it back. Then play strike and fade again. As long as all the cards left in the deck have dodge, it is possible to dodge Twilight Ops over and over. 2 Play Mirage's Haunted by the Demon Bear then just dodge every card. As long as every card has dodge on it this can never end. (Yes my final turn had both scenarios. )"
,,2,ANewEmpire,51,7,58,1st,Yes (1.5),1st,15 (2),1st,0 (1.5),2nd,3.867 (1),6,,44,3,Green Goblin,Mirage,5,5/5,Mirage's rare + Multiple Man + Green Goblin is nuts.
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,
31,EPIC Hood Breaches Parallel Dimensions,1,Spark001,47,54,101,1st,Yes (3.5),2nd,24 (4),1st,0 (4),1st,4.208 (5),16.5,,7,10,Black Bolt (Inhumans),"No-Name, Brood Queen",4,4/5,"Games 1 and 2 followed mostly the same suit with the left side focusing on Black Bolt and Karnak with hulk buster, while the right had Grey Hulk and No Name focusing on lowering the deck and bumping up attack power.
 On Second game used the 1- cost to search out the Master Strikes and schemes got lucky with no Master Strikes drawn at all and only 2 scheme twists coming out."
,,2,Cerberin,40,30,70,1st,Yes (3.5),1st,21 (5),1st,0 (4),3rd,3.333 (3),15.5,,10,8,Psi-Lord,Brainstorm,5,5/5,"When I saw the scheme I had to add the hero designed for it - Psi-Lord. It was an amazing game with many twists and turns, I have KOed 2 of the Master Strikes Preemptively but another two has managed to shown on the exact moment when I had enough generated attack to fight The Hood. Left side focused mainly onPsi-Lord, Brainstorm and a little bit of Hulkbuster mainly for the Draws. The right side was using Karnak and Joe Fixit using the unique combo from Karnak for additional recruit that helped me to fight the vilians and the MM once with recruit thanks to the Joe Fixit cards. Man/ Woman out of time has helped me a lot generating me enough attack to fight something every round and giving me additional options to check the villain decks. I love the scheme and I hope we will see of it more in the future!"
,,3,Enoc & Rowan,68,29,97,1st,Yes (3.5),3rd,26 (3),5th,2 (1),2nd,3.731 (4),11.5,,39,8,Korg,Photon,4,4/5,"The hood is mean, especially epic mode. Photon's ability to count number of discards is amazing alongside all the smash. Lost game 1, and was worried we were on track to lose game 2, but some lucky turns gave us the win!"
,,4,Loconnole,42,27,69,1st,Yes (3.5),4th,28 (2),1st,0 (4),5th,2.464 (1),10.5,,15,12,Hiroim,Amadeus Cho,5,5/5,Absolute insanity. Easily one off the most stress inducing crazy games we've had.  JOE FIXIT rare was amazing
,,5,Mangostrike,51,41,92,5th,No (1),5th,37 (1),4th,1 (2),4th,2.486 (2),6,,10,16,War Machine,Fantastic Four United,1,1/5,"Absolutely brutal. Almost every card was new to me and it really showed in my performance. Got some synergy with 4’s and recruit on the left and War Machine/Hulkbuster on the right, but far too slow and missed out on synergies triggering at the wrong times."
