Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,,
46,Access Denied,1,(+10),41,Lukas,80,41,121,1st,Yes (5.5),3rd,25 (8),1st,0 (5.5),1st,4.84 (10),29,,39,26,11,2,4,7,5,1,0,19,Red Guardian,Korg,Red Guardian,Korg,Second attempt,5,"Right place, wrong time worked incredibly well with the excessive sidekicks produced by Magic. Tie that together with some strategic unleashing of the red guardian created massive damage.",,,
,,2,(+9),44,R3DJ0N,34,87,121,1st,Yes (5.5),4th,26 (7),1st,0 (5.5),2nd,4.654 (9),27,,53,22,5,4,5,6,2,1,0,18,Hiroim,"Joe Fixit, Grey Hulk",Hiroim,"Joe Fixit, Grey Hulk",First attempt,5,"Luckily had enough elite assassins  come out so Indestructible Man didn't hold me up. Hiriom did his job. Joe Fixit was supposed to facilitate she-hulk and bribe the high attack villains, he didn't show up much in the first game. Would've been faster but was one attack short for the MM several times and the extra 5 goblins didn't help either.",,,
,,3,(+8),46,Avataristche,29,69,98,1st,Yes (5.5),2nd,24 (9),1st,0 (5.5),4th,4.083 (7),27,,40,16,6,2,6,8,3,1,0,20,Lady Thor,Man-Thing,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Jade Giantess revealed 12 cards for 15 atk, followed by Wield the Soulsword, so i finished JJJ, Indestructible and Madelyne (twice) in one turn.
Howard revealed 11 bystanders during the game and rescued 0, the traitor ^^",,,
,,4,(+7),44,Jean-Sébastien & Geneviève,96,17,113,1st,Yes (5.5),5th,27 (6),1st,0 (5.5),3rd,4.185 (8),25,,79,25,4,2,5,5,3,0,0,15,"Namor, the Sub-Mariner",Man-Thing,"Namor, the Sub-Mariner",Man-Thing,Second attempt,5,"Hoped for Howard and Magik to do better with Man-Thing, but Namor an She-Hulk are very good together and won us the game.",,,
,,5,(+6),39,Redblock,36,47,83,1st,Yes (5.5),1st,21 (10),1st,0 (5.5),7th,3.952 (4),25,,11,14,5,2,5,12,4,1,0,24,Amadeus Cho,Red Guardian,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Heroes given where very strong, Howard + Magic giving him general sidekicks is already strong, and I added Red Guardian. She Hulk is also very good, and I maxed her use by adding Amadeus for even more Outwit. Setup itself is also great, just indestructible man gave problems, as assassins refused to come out.",,,
,,6,(+5),36,realdanl,49,71,120,1st,Yes (5.5),7th,30 (4),1st,0 (5.5),6th,4 (5),20,,22,24,6,2,2,6,2,0,0,12,Hiroim,Amadeus Cho,Hiroim,Amadeus Cho,Second attempt,3,"Two very similar games, stat-wise, even down to the same points difference between players.  Things were flipped by the deck strategies, though.  The first attempt, Hiroim took top marks with support from Howard and Magik, but the second attempt She-Hulk backed by Amadeus an a smattering of others took the honors.  Tells me both were solid strategies, it was only down to HQ luck that made one come together better in a given game.",,,
,,7,(+4),36,Snash108,53,80,133,1st,Yes (5.5),10th,33 (1),1st,0 (5.5),5th,4.03 (6),18,,27,38,3,1,1,8,1,1,0,12,Red Guardian,Hiroim,Red Guardian,Hiroim,Second attempt,5,"Built a covert deck, and a Recuit/smash deck. Game would have gone far faster if the Elite Assassins hadn't been so late to the party!!",,,
,,8,(+3),34,piplup1112111,56,31,87,1st,Yes (5.5),6th,29 (5),1st,0 (5.5),10th,3 (1),17,,25,11,7,0,2,12,2,0,0,16,Red Guardian,Gladiator Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Red Guardian didn't do as much as I would've hoped, but gladiator hulk was really helpful",,,
