Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,6
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,
57,Enjoyable and Fun-defeated,1,(+9),47,Adrian Miller,33,54,87,1st,Yes (5),1st,23 (9),1st,0 (6),1st,3.783 (9),29,,21,22,0,2,8,6,5,0,0,21,Shatterstar,Angel,Angel,Shatterstar,Second attempt,4,.,,
,,2,(+8),47,Redblock,28,69,97,1st,Yes (5),4th,29 (6),1st,0 (6),3rd,3.345 (7),24,,41,13,0,2,4,3,3,1,0,13,Bishop,Iceman,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Apocalypse is never fun, scheme was mild at least. Photon works so well with Iceman and Bishop it made choice obvious, Karma was bit of a drag, but at least it was clear who to feed to war every time",,
,,3,(+7),51,R3DJ0N,58,60,118,1st,Yes (5),7th,33 (3),1st,0 (6),2nd,3.576 (8),22,,2,35,0,1,3,4,3,0,0,11,Angel,Bishop,Angel,Bishop,Second attempt,4,"Between Angel and Immortal and Undefeated, a lot of bystanders were rescued. I think I was overly focused on countering the scheme since neither game would've been a loss with how the villain deck ended up shuffled.",,
,,4,(+6),44,OleRockyTop,38,26,64,1st,Yes (5),2nd,24 (8),1st,0 (6),7th,2.667 (3),22,,12,9,0,3,6,7,2,1,0,19,Angel,Professor X,Angel,Professor X,Second attempt,3,First play through was really rough. Hit 3 master strikes and 7 scheme twists by turn 15. Ended up losing that one to the scheme. Second game went much better with Angel leading the charge.,,
,,5,(+5),51,Avataristche,61,9,70,1st,Yes (5),3rd,27 (7),1st,0 (6),8th,2.593 (2),20,,52,1,0,1,5,6,6,1,0,19,Bishop,Iceman,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"I was actually hoping to pull that tactic on the final turn, but alas, 27 attack waisted.",,
,,6,(+4),45,Lukas,75,28,103,1st,Yes (5),8th,34 (2),1st,0 (6),4th,3.029 (6),19,,47,8,0,0,1,0,1,0,0,2,Forge,Punisher,Forge,Punisher,Second attempt,5,I went for a heavy tech hero synergy and was not disappointed. I was able to capture some extra villains using Punisher’s Hail of Bullets card. Very tough set up.,,
,,7,(+3),47,Jean-Sébastien & Geneviève,68,18,86,1st,Yes (5),6th,31 (4),1st,0 (6),6th,2.774 (4),19,,50,12,0,3,2,4,4,0,0,13,Angel,Mirage,Angel,Mirage,Second attempt,4,"We were not sure which heroes to select, so I read the tournament channel and someone suggested using Angel and Mirage. It was a great suggestion! Even if the game was a bit long and we did not get much VPs, it was very fun using the discard mechanic for great effects (we had a turn with 31 attack!).",,
,,8,(+2),40,ChuckBauer,38,32,70,1st,Yes (5),5th,30 (5),8th,1 (2),9th,2.333 (1),13,,6,14,0,2,3,9,2,0,0,16,Iceman,Bishop,Iceman,Bishop,Second attempt,4,Go Blue Team!!!,,
