Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,3
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
25,Headshot Homework,1,(+10),32,CK,48,20,68,1st,Yes (5.5),2nd,25 (9),1st,0 (7),1st,2.72 (10),31.5,,28,1,2,3,2,5,6,1,0,17,Agent Phil Coulson,Deathlok,Iceman,Wolverine (X-Force),Second attempt,4,"I tried a ""safe"" choice for my first game. Deathlok could send Shield heroes undercover from the KO pile, so if I kept one hand as all Shield, then I thought I only had to worry about the Scheme for my other hand. I brought Coulson along to lean into Undercover a bit more. I'd already used Mockingbird in another round. My strategy worked, but it ramped up very slowly. My uncommon Coulson card only managed a 9 attack at his best, and my non-Shield hand ended up doing more of the work with Dark Memories. I won on turn 36, with 1 escape, and my only card left in the Villain Deck a Twist.

I thought the first game was boring, and wouldn't go better with a second try, so I switched to Iceman and Wolverine. A blue/red hand and a yellow/red hand, with the blue side being all Iceman and the yellow side trying to make Wolverine and Elektra work. I never bought into the Iceman hype, but I get it now. He works well with Bishop as well. My Iceman hand ended the game after generating 66 attack. My Wolverine/Elektra hand was clearing the city, but didn't get into big numbers. I saw 7 Twists this game, but they were mostly early game before I had KO'd a lot of cards, so it didn't snipe very many cards.",
,,2,(+9),29,Tex-pa,35,26,61,1st,Yes (5.5),1st,24 (10),1st,0 (7),4th,2.542 (7),29.5,,9,2,0,3,1,5,4,1,0,14,Iceman,Photon,Iceman,Photon,Second attempt,4,"We went through several scheme twists early and were able to survive with 5 non-grey escapes. Player 1 had 2 big hands with dark memories.  Player 2 with a Iceman, Bishop and Photon air (blue) machine got a 50 attack last hand to wipe the board.",
,,3,(+8),28,Doomfollow,48,36,84,1st,Yes (5.5),8th,32 (3),1st,0 (7),2nd,2.625 (9),24.5,,12,11,2,0,1,3,1,0,0,5,Jean Grey,Photon,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Tough one, got 4 Master Strikes early which made the Rings really hard to manage. In hindsight I probably should've accepted a few escapes to fight Taskmaster sooner, but still won in the end.",
,,4,(+7),27,captaincardone & Paisley5002,21,69,90,1st,Yes (5.5),9th,35 (2),1st,0 (7),3rd,2.571 (8),22.5,,48,13,1,2,0,3,3,0,0,8,Angel,Jean Grey,Angel,Wolverine (X-Force),Second attempt,2,"We struggled to get going and the first couple of twists KOed vital cards, causing us both to pivot our plans for our decks",
,,5,(+6),27,the.melkman. & Snapcity57,29,43,72,1st,Yes (5.5),6th,29 (4.5),1st,0 (7),5th,2.483 (5.5),22.5,,14,5,5,4,4,6,1,0,0,15,Red Guardian,White Tiger,Red Guardian,White Tiger,First attempt,4,Melk,
,,6,(+5),26,Sandals & Mrs Sandals,45,27,72,1st,Yes (5.5),6th,29 (4.5),1st,0 (7),5th,2.483 (5.5),22.5,,18,4,3,2,1,6,3,0,0,12,Deathlok,Hellcat,Deathlok,Hellcat,First attempt,4,"We had 4 twists in the first 5 turns of game 1, which helped set us up for a good run. I managed to turn 4/2 into 5/1 on both of my first two goes, which was nice! My wife went for Bishop/Deathlok and thinned her deck, I had Hellcat and F/WS for lots of draw. Neither of us picked up a card worth more than 5, so we only needed to hit 10 for the Mastermind. We also massively abused the Ring that discards 0 cost heroes from your deck late on, playing itany many times. I never got to Reanimate to reduce the Evil Wins, mostly as Deathlok wasn't ever sniped, and I never saw Hellcat's rare which was my other plan to keep things going. Overall a challenge but not too bad due to our shuffle",
,,7,(+4),24,Slothy,28,31,59,1st,Yes (5.5),3rd,27 (8),8th,2 (2),8th,2.185 (3),18.5,,3,2,9,1,2,5,6,1,0,15,Black Widow (S.H.I.E.L.D.),Mockingbird,Iceman,Photon,First attempt,4,"Tough setup, but fun. I don't think I found the right combo of heroes, though it was fun trying to find the perfect combo.",
,,8,(+3),23,Extra Cheese & Pizza,27,60,87,1st,Yes (5.5),10th,39 (1),1st,0 (7),7th,2.231 (4),17.5,,33,3,3,0,1,0,0,0,0,1,Cable,Colossus,Speed,Yelena Belova,First attempt,4,We were barely surviving game one with cable helping us hit mastermind. However the hq got so expensive and we didn’t get colossus common until near end of game. Second game we tried to lean into hyper speed and got Mercd by a scheme twist and early master strikes leading to escapes and being unable to keep the city clear.,
