Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
13,Wasteland Hulk Hails Hydra,1,Wicked.pepper,37,46,83,1st,Yes (2.5),3rd,31 (2),1st,0 (3.5),1st,2.677 (4),12,,1,4,Cloak & Dagger,Storm & Black Panther,5/5,How I love when Cloak and Daggers rare sees play <3
,,2,SilverFirePrime,44,24,68,1st,Yes (2.5),1st,30 (3.5),1st,0 (3.5),4th,2.267 (1),10.5,,5,6,Cloak and Dagger,Patriot,5/5,"Civil War isn't really one of my favorite sets overall, but the times it comes together it can be really fun to play."
,,3,Lamertien,24,49,73,1st,Yes (2.5),1st,30 (3.5),3rd,1 (1.5),3rd,2.433 (2),9.5,,6,3,Captain Marvel,Captain America,4/5,"Went with the Avengers, and didn't use Loki much. Was lucky with Cap's rare in the HQ right at the beginning - so I knew how to ramp up for the difficult Final Blow; my last turn produced 33/// too bad I had that early Escape. Still a pretty nice game. The second try went worse and I even lost that match."
,,4,Snash108,36,46,82,1st,Yes (2.5),4th,32 (1),3rd,1 (1.5),2nd,2.563 (3),8,,9,4,Hulkling,Enchantress,5/5,"Had an absolutely incredible final turn!! Ended up playing Daredevil's rare for infinite attack, as the right side had exactly 2 cards of different costs in their discard pile!!"
14,Grim Reaper's Ragnarok,1,THSmjsmith & THS_coconutgamer,61,15,76,1st,Yes (2.5),1st,21 (4),1st,0 (2.5),2nd,3.619 (3),12,,3,4,Iron Man,Multiple Man,5/5,iron man + hawk eye destroyed this game
,,2,Avataristche,32,71,103,1st,Yes (2.5),4th,28 (1),1st,0 (2.5),1st,3.679 (4),10,,1,4,Brainstorm,War Machine,5/5,"Okay, so M + Sif's Helm is bonkers, she casually drew her whole deck every turn, resending all Brainstorms back out of time and generating 20+ attack (and i didnt even get her rares). Tech side didnt join the game at all, but oh well."
,,2,AntDude & WaspWoman,17,17,34,1st,Yes (2.5),2nd,22 (3),1st,0 (2.5),3rd,1.545 (2),10,,1,4,Rogue,Darkhawk,5/5,"2nd game went MUCH better, as Weaponized Galactus didn’t sit in the city and devour guardians of Asgard. M and Rogue were a force together, with some Sif’s Winged helm working to fully power Penance form with a 2-card draw to boot. Other deck had Team “Hawk” with Darkhawk and Hawkeye with amazing hyperspeed cycling. Though we are worried about our rather low VP total, didn’t clear much of the city toward the end."
,,4,CaptainMetroidica,13,21,34,1st,Yes (2.5),3rd,23 (2),1st,0 (2.5),4th,1.478 (1),8,,3,3,Gambit,Rogue,4/5,"Two weeks in a row I got location heavy set ups, but both felt different and unique. Felt a lot better about this weeks. Though the initial three heroes were tough to wrap my mind around."
