Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
1,Mysterio's HYDRA Hypnosis,1,(+11),11,JB007,101,23,124,1st,Yes (6.5),1st,24 (11),7th,2 (3.5),1st,5.167 (11),32,,78,27,2,1,5,5,1,0,14,Mockingbird,Wolverine (X-Men),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"This was a blast! Lopsided with player 1 whooping ass. Ha. I was able to get Hawkeye , mockingbird and wolverine rare in his deck! The last turn I had 35 attack and hit mysterio final 3 times and he rescued the last nine bystanders due to Hawkeye’s rare!!!",,
,,2,(+10),10,WingedCrusader,66,32,98,1st,Yes (6.5),2nd,26 (10),3rd,1 (7.5),5th,3.769 (7),31,,34,3,0,4,6,3,1,0,14,"Miek, the Unhived",Mockingbird,"Miek, the Unhived",Mockingbird,Second attempt,5,"Okay the first time around I was just getting back into legendary.  My roommate decided to play and we got all the miek uncommons on turn 8 or so and we were KOing and drawing cards like no other, which are by far my two most favorite things to do in legendary.  He managed to buy two rares and combo-d miek's uncommon with No-name's rare, drawing 3 cards after the 3 KOs!",,
,,3,(+9),9,Swagolas,105,49,154,1st,Yes (6.5),6th,33 (6),3rd,1 (7.5),3rd,4.667 (9),29,,56,18,0,2,3,1,1,0,7,Mockingbird,Deathlok,Mockingbird,Deathlok,First attempt,5,"That was awesome! I loved the undercover keyword. I was able to recruit four rare heroes, two of them pretty quickly, they helped me a lot in getting my highest VP count so far. I was happy with my hero choices. The game itself wasn't really challenging, but it was really fun to play both times. The second game was one turn shorter then the first one, but I got a lot more VPs in the first game, so I decided to submit those results, I hope that was the correct decision. Can't wait for the next week's setup.",,
,,4,(+8),8,Redblock,82,47,129,1st,Yes (6.5),3rd,27 (9),7th,2 (3.5),2nd,4.778 (10),29,,35,4,0,4,2,5,2,0,13,Deathlok,Mockingbird,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Choosing Shield heroes for scheme that raises Shield level was easy choice, but was close to loosing, hydra level was 9  at the end of game.",,
,,5,(+7),7,gscrap,61,63,124,1st,Yes (6.5),7th,35 (4.5),1st,0 (10.5),6th,3.543 (6),27.5,,2,7,0,2,2,1,0,0,5,Agent Phil Coulson,Rick Jones,Agent Phil Coulson,Rick Jones,First attempt,4,"Weirdly, the thing that stood out to me about this setup was its predictability: with no Villains, Strikes or Twists that played extra cards from the Villain deck or charged spaces or whatever, I could make choices about where to direct attack power with confidence, without worrying about surprise escapes.  Mysterio is always a pain in the neck (in a good way) (mostly) and having to hit him ten times in the first game and eleven in the second took me right down to the wire both times.  Fun and challenging!",,
,,6,(+6),6,sword'n'sorcery,45,51,96,1st,Yes (6.5),4th,28 (8),3rd,1 (7.5),9th,3.429 (3),25,,6,2,2,2,7,1,0,0,12,Deathlok,Caiera,Deathlok,Caiera,First attempt,4,"Including a SHIELD hero was a must here. I used Deathlok, but any hero that can get the SHIELD Level high quickly will do.",,
,,7,(+5),5,Astigmatic_Oracle,86,43,129,1st,Yes (6.5),10th,37 (2),1st,0 (10.5),8th,3.486 (4),23,,43,6,0,0,2,2,0,0,4,Agent Phil Coulson,Wolverine (X-Men),Agent Phil Coulson,Wolverine (X-Men),First attempt,4,"Mysterio is always good for good game and I love SHIELD level, so I chose a hero to take advantage of the SHIELD levels the setup gave from the scheme. Berserker Rage was the MVP card for sure.",,
,,8,(+4),4,SharkNate-O & onthegeniusofsamrockwell,59,56,115,1st,Yes (6.5),5th,29 (7),11th,3 (1),4th,3.966 (8),22.5,,3,7,2,3,3,1,1,0,10,Mockingbird,"Miek, the Unhived",Mockingbird,"Miek, the Unhived",First attempt,3,"Good game. Enjoyed our two hero picks. One person focused on their deck on feast mechanic, and the other focused their deck on the SHIELD level mechanic. Brood, Meik, and Moon Knight worked well for one deck, and Hawkeye, Mockingbird, and Moon Knight worked well for the other deck. Good synergies and balance of cards in HQ.",,
,,9,(+3),3,ItStartsWith1,59,64,123,1st,Yes (6.5),7th,35 (4.5),7th,2 (3.5),7th,3.514 (5),19.5,,5,13,0,2,1,2,0,0,5,Gambit,"Miek, the Unhived",Gambit,"Miek, the Unhived",Second attempt,5,"Usually I have to agonize over which heroes to pick. This one I did not. Gambit and Miek were screaming to synergize with Feast and deck manipulation, and it made for a very fun, cohesive Hero Deck. Everyone played a part. Left hand was all out Gambit and was basically drawing the entire deck at the end to finish Mysterio. Right hand was basically a tech/instinct deck that had a good punch. Overall was able to control the city, but finished with that Hydra level at 10, so definitely came down to the wire. Had 2 solid, winning attempts, but the second without that pesky escape and a higher ppt is the one I went with, even if it was a turn longer.",,
,,10,(+2),2,aitmanga,33,83,116,1st,Yes (6.5),9th,36 (3),7th,2 (3.5),10th,3.222 (2),15,,50,4,0,0,3,0,0,0,3,Iron Man,"Joe Fixit, Grey Hulk",Iron Man,Deathlok,Second attempt,5,"First game was really close and we barely won in the last turn with Iron Man's help to get some extra attack from the deck. On the second game, Iron Man's help was essential to get some massive turns where we could attack the Mastermind more than once, we also had enough attack to keep shield officers in check to keep the Hydra levels down without many villain's escaping.",,
,,11,(+1),1,mattl00k,57,49,106,11th,No (1),11th,37 (1),3rd,1 (7.5),11th,2.865 (1),10.5,,8,12,0,0,0,0,0,0,0,Hulk,Hiroim,Hiroim,Hulk,Second attempt,4,"Very fun setup, good to be back & looking forward to the next round.",,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Black Widow's Inner Struggle,1,(+10),10,Dre 2 point 0,42,50,92,1st,Yes (7),2nd,27 (8),1st,0 (6.5),1st,3.407 (9),30.5,,8,19,3,2,11,1,1,0,18,Deadpool (Unaffiliated),Falcon & Winter Soldier,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"What a close call! Only one card was left in the hero deck. I had really great decks going pretty quickly, but I didn’t see a second Elite Assassin villain until turn 21! It hurt to see all those rares get KO’d, but I managed to get Deadpool’s, which let me shift starter heroes to the deck that could put them undercover with ease.",,
,,2,(+9),9,Yeeches,46,47,93,1st,Yes (7),3rd,28 (7),1st,0 (6.5),2nd,3.321 (8),28.5,,1,16,2,2,9,2,2,0,17,Captain America,Falcon & Winter Soldier,Captain America,Falcon & Winter Soldier,Second attempt,4,I went for full-on Dark memories and Captain's colors. Terrible draw first game but better luck on take 2. Had 1 deck down to 7 cards after all the undercover I did while waiting for more assassins to show lol. Weird & challenging games !!,,
,,3,(+8),8,Chapmaca7,14,77,91,1st,Yes (7),4th,32 (6),1st,0 (6.5),3rd,2.844 (7),26.5,,63,24,0,1,9,2,0,0,12,Deadpool (Unaffiliated),Hawkeye,Deadpool (Unaffiliated),Hawkeye,Second attempt,4,Really fun game! Awful first attempt but really turned it around on second attempt. Right hand only had 5 cards in deck at end of game due to KO and undercover.,,
,,4,(+7),7,MrTInce,23,28,51,1st,Yes (7),1st,22 (9),1st,0 (6.5),7th,2.318 (3),25.5,,5,7,2,3,13,6,0,0,24,Iron Man,Red Guardian,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I'll be honest, I got really lucky with the cards in the hero deck being able to set one side as covert and the other all tech. Wish I could have got more villains but with the MM you have to hit him while you can.",,
,,5,(+6),6,AntDude & WaspWoman,27,47,74,6th,No (2.5),7th,30 (3),1st,0 (6.5),5th,2.467 (5),17,,20,19,1,1,7,3,0,0,12,Red Guardian,Deadpool (Unaffiliated),Red Guardian,Deadpool (Unaffiliated),Second attempt,1,"This was brutal, so many wasted turns with thin decks full attack. The short pseudo-timer scheme with Indestructible Man stretching the game out was a very rough and very Kylah combination. A very upsetting setup for WaspWoman’s return.",,
,,6,(+5),5,Mangostrike,19,48,67,6th,No (2.5),8th,27 (2),1st,0 (6.5),4th,2.481 (6),17,,29,30,2,2,9,1,0,0,14,Iron Man,Hawkeye,Deadpool (Unaffiliated),Spider-Man,Second attempt,4,"This was brutal. I had more than enough attack each turn to take out any opponent, but only had the Elite Assassins villain group come out of the deck 3 times in 27 turns. The final twist took out my Hero Deck, so perhaps recruiting differently would have been a better choice, but this was so frustrating to get 3 twists on turns 24, 26, 27 when all I needed was an Elite Assassin to show up. Not a great start to the tournament, but a really interesting setup that blocks BW's OP strength from running away with the game.",,
