Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,MS,ST,VG,HM,BST,N/A,Total,1,2,1,2,,,,,3
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
25,Respect Your Elders,1,(+9),27,MicroDisney0505,48,24,72,1st,Yes (5),1st,19 (8),1st,0 (5.5),2nd,3.789 (7),25.5,,24,6,2,7,15,4,2,0,30,Medusa,"Namor, the Sub-Mariner","Namor, the Sub-Mariner",Medusa,Second attempt,4,"First game I was getting recruit locked. By the time I realized it, it was even difficult to get an officer. I did not make that mistake again. It was nice to get Sharon Carter. (She helped me get Nomor, the Sub-Mariner’s rare early on and then went undercover to not clog my deck.) Yo-Yo helped with Immortus. The second game was really all luck and very little skill, that was no fun. First game was a lot more fun but 33 turns was not going to cut it in this tournament.",,
,,2,(+8),26,Jean-Sebastien & Genevieve,52,58,110,1st,Yes (5),3rd,26 (6),1st,0 (5.5),1st,4.231 (8),24.5,,6,10,3,5,7,6,1,0,22,Captain Marvel,Lady Thor,Captain Marvel,Lady Thor,Second attempt,4,"Karnak and his When Recruited powers were key to manage the city early in the game. Hand 2 built up with Captain Marvel and Lady Thor and shined later in the game. Heralds of Galactus were not super useful, except for Silver Surfer which is a great card.",,
,,3,(+7),25,Redblock,42,45,87,1st,Yes (5),4th,28 (5),1st,0 (5.5),4th,3.107 (5),20.5,,3,9,2,3,9,5,2,0,21,Captain Marvel,Lady Thor,Captain Marvel,Lady Thor,Second attempt,5,"Was hoping to eat whole city, but only got to Bridge. Heralds are monsters if properly supplied with cold hard cash, and I added two richest girls around :D",,
,,4,(+6),27,SnekeTV,39,40,79,1st,Yes (5),2nd,24 (7),7th,1 (2),3rd,3.292 (6),20,,1,4,0,6,12,5,2,0,25,Werewolf by Night,Apocalyptic Kitty Pryde,Werewolf by Night,Apocalyptic Kitty Pryde,First attempt,3,"Getting 4 master strikes in the first 10 turns was a rough start, but one hand eventually got online with turbo KO's and massive damage while the other generated all the recruit in the world. Did the funny with galactus, but figured the extra turns and possible more escapes probably isn't worth the VP or risk of Cthon. In the end, the only survivor was the sewers.",,
,,5,(+5),23,NukinFoobs & N3m3sis,53,47,100,1st,Yes (5),5th,36 (4),1st,0 (5.5),5th,2.778 (4),18.5,,6,10,2,2,5,3,1,0,13,Medusa,Werewolf by Night,Medusa,Werewolf by Night,Second attempt,4,Both our games went decently well other than them both taking way longer than we hoped. Ended up having to choose a higher points per turn or less total turns. Medusa and werewolf worked great with us pretty much just ignoring the heralds.,,
,,6,(+4),23,Yeeches,75,27,102,1st,Yes (5),6th,37 (3),1st,0 (5.5),6th,2.757 (3),16.5,,48,8,1,2,5,3,0,0,11,Psi-Lord,Proxima Midnight,Psi-Lord,Proxima Midnight,Second attempt,5,"There was a lot going on here! I managed to keep Chthon away and felt mostly in control. Even focused for Galactus a few times in my first game but realized Logan+Karnak plus Surfer for some draw support was a more reliable combo (hit ~40 attack on my last turn). The focus deck (Psi Lord, Proxima, Heralds) had great synergy for support but got really big and maybe slowed me down. Ended up recruiting fast to reveal some more Karnak cards for the other side to end it. Logan's Loner was the real hero without other rares showing!",,
,,7,(+3),21,Off the Cuff,54,66,120,1st,Yes (5),7th,45 (2),1st,0 (5.5),7th,2.667 (2),14.5,,12,13,0,0,3,1,0,0,4,Dr. Strange (Illuminati),Medusa,Dr. Strange (Illuminati),Medusa,Second attempt,4,Galactus sure did hunger,,
,,8,(+2),20,Dre 2 point 0,38,26,64,8th,No (1),8th,31 (1),8th,2 (1),8th,2.065 (1),4,,12,2,2,8,8,4,2,0,24,Brainstorm,"Namor, the Sub-Mariner",Lady Thor,Medusa,First attempt,2,"Crazy tough setup! My “Hail Mary” for defeating Chthon was Namor’s rare but it didn’t show up. Although, I did summon Galactus, but it was far too late. I think these hero choices could work, but it really depends on how things shuffle. In my case, both the hero deck and villain deck shuffles were just bad.",,
