Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,7
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
70,Don't be late! It could be great! Who's your mystery date?,1,(+8),57,avataristche,78,31,109,1st,Yes (4),1st,21 (6.5),1st,0 (4),1st,5.19 (7),21.5,,47,24,2,2,2,3,6,1,0,14,"Gamora, Destroyer of Thanos",Gladiator Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"By the time i revealed mm, both sides were cracked, mm gonzo in 4 turns. Angel is stupid op when he shows up in hq.",
,,2,(+7),48,Shaggy427,82,20,102,1st,Yes (4),3rd,24 (5),1st,0 (4),3rd,4.25 (5),18,,62,21,1,2,2,5,3,0,0,12,Iceman,Domino,Iceman,Bishop,Second attempt,5,"Anytime I get to use Ice and Angel, it is a good time.",
,,3,(+6),47,Techfiend & Kimber_Blue,87,39,126,1st,Yes (4),4th,26 (3.5),1st,0 (4),2nd,4.846 (6),17.5,,48,26,8,2,1,3,3,1,0,10,"Gamora, Destroyer of Thanos",Gladiator Hulk,"Gamora, Destroyer of Thanos",Gladiator Hulk,Second attempt,4,"Great way to end the tournament. Thanks for doing this, Kylah and Bagel!",
,,4,(+5),49,ReoFirestar19,49,39,88,1st,Yes (4),1st,21 (6.5),1st,0 (4),5th,4.19 (3),17.5,,10,13,2,3,4,6,4,0,0,17,Bishop,Apocalyptic Black Widow,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"If I knew the Mastermind were the Illuminati, I wouldn't have chosen Bishop. An interesting setup to mess with! Both builds were able to KO cards with ease, allowing them to ramp with little to no issues. Got a Rare on one side, too! What a way to close the Tournament. Thanks for hosting!~",
,,5,(+4),47,WilTheGrey,25,84,109,1st,Yes (4),4th,26 (3.5),1st,0 (4),4th,4.192 (4),15.5,,59,22,0,2,1,2,3,0,0,8,Hiroim,Stepford Cuckoos,Hiroim,Bruce Banner,Second attempt,5,"I am still trying to decide whether I wanted to give this a 4 or a 5, so it is probably good that we do not get options to pick 4 and a half. :) I went with 5, because in both games I never felt certain of the outcome. My first game only had one card left in the villain deck when I finally beat it. The change in heroes for the second attempt helped, and I think the second mastermind was better suited for my choices overall. The draw came up better for me in the second game as well. Like most of the ratings, my final decision comes down to whether I would play again. For this one, I absolutely will. Good job incorporating the new scheme!",
,,6,(+3),46,R3DJ0N,63,41,104,1st,Yes (4),6th,27 (1.5),1st,0 (4),6th,3.852 (2),11.5,,22,9,2,1,2,2,1,0,0,6,Bishop,M,Bishop,M,First attempt,3,1st attempts decks were better but the mm was harder.,
,,7,(+2),45,citizen51,57,40,97,1st,Yes (4),6th,27 (1.5),1st,0 (4),7th,3.593 (1),10.5,,17,10,0,0,2,3,2,1,0,8,Gladiator Hulk,Star-Lord T'Challa,Gladiator Hulk,Star-Lord T'Challa,Second attempt,4,"I had a lot of fun play testing this scheme. First game was plagued with Twists and barely survived with 8 bodyguards sitting for too long of a stretch. Also since both of my decks heavily used card draw, the MM for attempt 1 was especially brutal. For game 2, I was a bit more lucky and with an Ascended Ego's help and was able to get through all 5 strikes before releasing the true MM. Red King was a bit easier without any strikes. In game 2 P1 went with a discard Angel/Darkhawk deck while P2 went for a draw and Smash deck. Unfortunately was never able to get Hulk is King in the deck for P2 which was the main reason I brought that hero, but it worked fine while P1 did most of the work. I will say Rival Overlords is one of my least favorite villain groups because they feel samey and it's rare for more than one to Ascend, but they were a lot more fun with this scheme and there was definitely a strategy to let one of them ascend to better direct the strikes than more bodyguards.",
,,8,(+1),41,Jean-Sébastien & Geneviève,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,How Kylah Met Bagel: A CYOA Story,1,(+8),48,Zoratok,22,68,90,1st,Yes (4),1st,26 (6),1st,0 (5),2nd,3.462 (6),21,,46,15,15,2,3,7,4,0,0,16,Agent Phil Coulson,Deathlok,Agent Phil Coulson,Deathlok,Second attempt,3,Could have been a few turns faster but had to hit apocalypse an extra time but got some bystanders out of it anyway. Fun tournament! ggs everyone!,
,,2,(+7),47,Doomfollow,64,39,103,1st,Yes (4),4th,29 (4),1st,0 (5),1st,3.552 (7),20,,25,23,12,3,2,4,2,0,0,11,Black Widow (S.H.I.E.L.D.),Drax the Destroyer,Agent Phil Coulson,Nightcrawler,Second attempt,5,"Fun fact: if you get the Legendary Jean Grey card and draw that one Apocalypse Tactic, you're gonna have a good time (Also big thanks to everyone who helped organize and run this tournament, had a great time)",
,,3,(+6),45,HatePhD & EditedMist,38,34,72,1st,Yes (4),1st,26 (6),1st,0 (5),6th,2.769 (2),17,,4,21,1,0,3,11,0,1,0,15,Bishop,Iceman,Bishop,Iceman,First attempt,5,"Well I had a lot of fun. Our first 5 turns were two Twists and three strikes. By the time Jester came out the first time all of the henchmen had been played and the Apoc was out of strikes. We pulled the other Jester put them on the bottom of the scry. So the game was pretty stress free after we didn't see a twist in the immediate future.

We rushed to seven KO'ed bystanders and then held the line until Jean did Jean-stuff and beat the heck out of the MM. Hopefully we hold the line too and hang out in the top 15 overall!",
