Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
1,Thanos' Super Hero Civil War,1,Avataristche,46,26,72,1st,Yes (5),1st,25 (7),1st,0 (6.5),3rd,2.88 (5),23.5,,20,9,Iron Man,Star-Lord,3/5,"I got Cap and SL rares at the side1, it was a breeze from there."
,,2,NukinFoobs and N3m3sis,65,25,90,1st,Yes (5),3rd,31 (5),1st,0 (6.5),2nd,2.903 (6),22.5,,40,23,Hawkeye,Star-Lord,4/5,The first game went pretty rough hitting scheme and master strikes very early. The 2nd game we were able to stabilize much quicker and recruit cards that worked together generally well.
,,3,Redblock,62,22,84,1st,Yes (5),2nd,27 (6),3rd,1 (3.5),1st,3.111 (7),21.5,,40,23,Black Widow,Iron Man,5/5,"Scheme makes this luck based, if you get Black widow card you need, or will twist eat it"
,,4,Wicked.pepper,21,48,69,1st,Yes (5),4th,32 (4),3rd,1 (3.5),4th,2.156 (4),16.5,,27,7,Gamora,Star-Lord,5/5,"At first glance I thought Thanos would destroy me. Unlike Avengers Infinity War, Star-Lord did actually defeat Thanos this time. Probably because Gamora was alive and well now."
,,5,MrTInce,28,35,63,1st,Yes (5),5th,34 (3),7th,2 (1),5th,1.853 (3),12,,7,3,Groot,Star-Lord,4/5,Sometimes it is too easy to forget that with this set up you have to limit your purchases. I was lucky the last scheme twists were at the bottom as I had only one card left in the hero deck. Luckily Groot's Prune the Growth really helped whittle decks down.
,,6,kata124,25,9,34,6th,No (1.5),7th,30 (1),3rd,1 (3.5),6th,1.133 (2),8,,16,13,Black Widow,Gamora,2/5,Not fun. I feel like both hands had good things going in both tries but happened to draw most of the scheme twists pretty early in the deck. Pure time schemes are not fun in a tournament setting because there is nothing the play can do to mitigate an early flood.
,,7,LoboTranki#4675,13,17,30,6th,No (1.5),6th,33 (2),3rd,1 (3.5),7th,0.909 (1),8,,4,2,Iron Man,Black Widow,2/5,"So hard, The Mad Titan is unstoppable"
,,-,Kkslider818 & Aquaz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Hydra Super-Adaptoid's Massive Earthquake Generator,1,Bearclaw Mcgraw/SnaerSnare,31,39,70,1st,Yes (4.5),1st,22 (7.5),1st,0 (5.5),2nd,3.182 (7),24.5,,8,5,Iceman,Photon,5/5,Super-Adaptoid stood no chance!
,,2,EnigmaDrake#0270,20,52,72,1st,Yes (4.5),1st,22 (7.5),7th,1 (2),1st,3.273 (8),22,,32,4,Wolverine (X-Force),"Captain Marvel, Agent of SHIELD",4/5,"X-force wolverine/Elektra was surprisingly really strong! Shield team very medium, until it got quake's ult, but didn't really catch up. War machine was also there, Haha."
,,3,Lamertien,45,44,89,1st,Yes (4.5),4th,29 (4.5),1st,0 (5.5),3rd,3.069 (6),20.5,,1,11,Domino,Deathlok,4/5,"I chose the risky way by adding two heroes with only 3 strength cards but it paid off! Had several additional ""undercover""-points in my second run and now I'm glad I saved Iceman or Forge for greater challenges."
,,4,Juuuuulian,28,41,69,1st,Yes (4.5),3rd,27 (6),1st,0 (5.5),6th,2.556 (3),19,,13,2,Colossus,"Captain Marvel, Agent of SHIELD",5/5,"Got lucky, three twists in the first 6 cards so our decks were not well built yet."
,,5,CaptainMetroidica,57,35,92,1st,Yes (4.5),8th,35 (1),1st,0 (5.5),5th,2.629 (4),15,,22,11,Ronin,Scarlet Witch,3/5,The three chosen heroes didn't have much if anything in common which made selecting another two heroes VERY challenging. 
,,6,Astgmatic_Oracle,41,39,80,1st,Yes (4.5),4th,29 (4.5),8th,2 (1),4th,2.759 (5),15,,2,3,Deathlok,Mockingbird,3/5,"Chosen it to add Strength heroes, which made the end of the game a bit harrowing. "
,,7,Darova & Brianda,52,24,76,1st,Yes (4.5),6th,30 (3),1st,0 (5.5),7th,2.533 (2),15,,28,2,Deathlok,Iron Fist,4/5,Bad team synergy
