Pod,Rank,Name_Clean,VP_Pile_1,VP_Pile_2,Total_VP,Win?,Total Rank Points,VP_Diff,Bystanders,Fun_Level,Win_Value,Win_Points,Turns_Value,Turns_Points,Turns_Rank,Escapes_Value,Escapes_Points,Escapes_Rank,PPT_Value,PPT_Points,PPT_Rank,Unique_Pod_ID,Pick 1,Pick 2,Attempt,Points Earned,Total Points,Cards Undercover
1,1,MicroDisney0505,57,24,81,1st,26,33,2,1/5,Yes,5.5,31,6,3rd,0,7.5,1st,2.613,7,2nd,F22_Pod_1,Gamora (MCU),Drax (MCU),,,,
1,2,Remington Chase,35,57,92,1st,22.5,22,6,4/5,Yes,5.5,34,3,6th,1,6,3rd,2.706,8,1st,F22_Pod_1,Warlock,Gamora (MCU),,,,
1,3,Montax30,57,20,77,1st,22,37,2,5/5,Yes,5.5,33,4,5th,0,7.5,1st,2.333,5,4th,F22_Pod_1,Crystal,Queen Storm of Wakanda,,,,
1,4,Snash108 & SBPKECN,12,55,67,1st,22,43,1,5/5,Yes,5.5,30,7.5,1st,2,5,4th,2.233,4,5th,F22_Pod_1,Drax (MCU),Sunspot,,,,
1,5,Loconnole & Klcgolf,38,39,77,1st,20,1,3,5/5,Yes,5.5,32,5,4th,3,3.5,5th,2.406,6,3rd,F22_Pod_1,King Black Panther,Queen Storm of Wakanda,,,,
1,6,Guru Mike & MargaretWestlake,25,33,58,1st,17.5,8,6,3/5,Yes,5.5,30,7.5,1st,6,1.5,7th,1.933,3,6th,F22_Pod_1,Gamora (MCU),Drax (MCU),,,,
1,7,caseystahl1125,47,39,86,7th,7,8,5,3/5,No,1.5,48,2,7th,6,1.5,7th,1.792,2,7th,F22_Pod_1,White Wolf,King Black Panther,,,,
1,8,hatephd,33,31,64,7th,7,2,1,3/5,No,1.5,37,1,8th,3,3.5,5th,1.73,1,8th,F22_Pod_1,Sunspot,Wolfsbane,,,,
2,1,Mangostrike,46,15,61,1st,26.5,31,11,3/5,Yes,5.0,21,9,1st,1,4.5,5th,2.905,8,2nd,F22_Pod_2,Angel,Wolverine (X-Men),,,,
2,2,ItStartsWith1,33,30,63,1st,24,3,4,4/5,Yes,5.0,25,5.5,4th,0,7.5,1st,2.52,6,4th,F22_Pod_2,Cyclops,Wolverine (X-Men),,,,
2,3,Roy_Boy,26,24,50,1st,23.5,2,9,3/5,Yes,5.0,22,8,2nd,0,7.5,1st,2.273,3,7th,F22_Pod_2,Domino,Nightcrawler,,,,
2,4,Enoc & Rowan,37,41,78,1st,22,4,12,4/5,Yes,5.0,27,2.5,7th,0,7.5,1st,2.889,7,3rd,F22_Pod_2,Iceman,Professor X,,,,
2,5,Redblock,31,27,58,1st,19.5,4,7,4/5,Yes,5.0,24,7,3rd,2,2.5,7th,2.417,5,5th,F22_Pod_2,Wolverine (X-Men),Cyclops,,,,
2,6,AveryAce,24,23,47,1st,19,1,1,3/5,Yes,5.0,25,5.5,4th,0,7.5,1st,1.88,1,9th,F22_Pod_2,Wolverine (X-Force),Wolverine (X-Men),,,,
2,7,BDub,62,23,85,1st,17.5,39,23,4/5,Yes,5.0,27,2.5,7th,3,1,9th,3.148,9,1st,F22_Pod_2,Wolverine (X-Men),Angel,,,,
2,8,Godot,30,30,60,1st,17.5,0,4,4/5,Yes,5.0,26,4,6th,1,4.5,5th,2.308,4,6th,F22_Pod_2,Captain America,Forge,,,,
2,9,Baldulf,35,29,64,1st,10.5,6,11,4/5,Yes,5.0,30,1,9th,2,2.5,7th,2.133,2,8th,F22_Pod_2,Nightcrawler,Professor X,,,,
3,1,Avataristche,34,38,72,1st,29,4,23,4/5,Yes,5.0,23,8,2nd,0,7,1st,3.13,9,1st,F22_Pod_3,Drax the Destroyer,Hiroim,,,,
3,2,Doormatte,51,13,64,1st,29,38,16,4/5,Yes,5.0,21,9,1st,0,7,1st,3.048,8,2nd,F22_Pod_3,Namora,Shatterstar,,,,
3,3,Drewfusmcge,52,14,66,1st,23,38,14,4/5,Yes,5.0,25,6,4th,0,7,1st,2.64,5,5th,F22_Pod_3,Gamora,Mr. Fantastic,,,,
3,4,Christian_Medic & Amanda G,33,42,75,1st,20.5,9,17,3/5,Yes,5.0,27,5,5th,2,3.5,6th,2.778,7,3rd,F22_Pod_3,"No-Name, Brood Queen",Shatterstar,,,,
3,6,Wicked.pepper,17,49,66,1st,18.5,32,18,4/5,Yes,5.0,28,3.5,6th,0,7,1st,2.357,3,7th,F22_Pod_3,Shatterstar,Star-Lord,,,,
3,7,Bronson,35,35,70,1st,16,0,15,4/5,Yes,5.0,28,3.5,6th,2,3.5,6th,2.5,4,6th,F22_Pod_3,Star-Lord,Rocket Raccoon,,,,
3,8,Canis,34,44,78,1st,14,10,18,2/5,Yes,5.0,41,1,9th,0,7,1st,1.902,1,9th,F22_Pod_3,Human Torch,Shatterstar,,,,
3,9,Jerzin,46,25,71,1st,10.5,21,17,3/5,Yes,5.0,34,2,8th,3,1.5,8th,2.088,2,8th,F22_Pod_3,Drax the Destroyer,Shatterstar,,,,
4,2,Coyote81 & ElZappo,35,78,113,1st,18,43,4,3/5,Yes,4.0,36,2,6th,0,6,1st,3.139,6,2nd,F22_Pod_4,"Namor, the Sub-Mariner",Old Man Logan,,,,
4,3,Forever A Team,29,16,45,1st,18,13,3,5/5,Yes,4.0,22,7,1st,0,6,1st,2.045,1,7th,F22_Pod_4,Hellcat,Photon,,,,
4,5,Off the Cuff,72,59,131,1st,13.5,13,12,5/5,Yes,4.0,42,1,7th,1,3.5,4th,3.119,5,3rd,F22_Pod_4,Quicksilver,War Machine,,,,
5,2,OllieKitKat & Kylah15,13,19,32,1st,20,6,3,4/5,Yes,4.5,21,7,2nd,0,6.5,1st,1.524,2,7th,F22_Pod_5,Thing,Silver Surfer,,,,
