Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,"Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)",Attempt Submitted,,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
1,Mole Man's Invincible Force Field,1,pspblink,28,23,51,1st,Yes (6.5),1st,18 (10),1st,1 (9.5),3rd,2.833 (8),34,,5,3,Hulk,Rogue,Hulk,Rogue,Second attempt,3,3/5,Recruited heavy hitters early was key.
,,2,Sparky001,61,38,99,1st,Yes (6.5),4th,22 (6),1st,1 (9.5),1st,4.5 (10),32,,23,20,Hawkeye,Hulk,Hawkeye,Hulk,First attempt,4,4/5,"Game 1 went a lot better then game 2 point wise, used Hawkeye to give a boost to Wolverine and Spider-Man’s abilities with the latter gaining the bystanders and the former taking out the city villains.
 While hand 2 focused on a Hulk and Thing mostly green deck used to deal the damage to Mole Man to good effect, found it to be an interesting set up and look forward to the rest of the tournament."
,,3,Mangostrike,32,27,59,1st,Yes (6.5),2nd,21 (8.5),3rd,2 (7.5),5th,2.81 (6),28.5,,5,10,Hulk,Rogue,Hulk,Rogue,First attempt,4,4/5,First game I was able to KO quickly and then get a Hulk/Wolverine engine going with Thing’s rare and Hulk’s rare in the mix. Second game was a major fail with the HQ clogged with 5 recruit heroes and no ability to KO or do damage.
,,4,JesterJeeto,27,35,62,1st,Yes (6.5),4th,22 (6),5th,3 (3.5),4th,2.818 (7),23,,8,5,Emma Frost,Thor (Avengers),Nick Fury,Mr. Fantastic,First attempt,4,4/5,This one can get away from you quick with the stacking forcefields and escaped subterranean villains. Thank goodness Wolverine was in the pool. LOL
,,5,Yeeches,36,46,82,1st,Yes (6.5),8th,25 (3),5th,3 (3.5),2nd,3.28 (9),22,,10,15,Gambit,Silver Surfer,Gambit,Silver Surfer,First attempt,5,5/5,Went for a focus deck on one side which did really well with Surfer and Thing's rares. Spidey and the X-Men did better than I expected with strong draw power. A few early escapes definitely hurt me but I totally lost in the rematch! Kind of a deceptively tough setup in the late game. A very fun set up that felt well balanced ( I love burrow so much).
,,6,kata124,23,21,44,1st,Yes (6.5),2nd,21 (8.5),5th,3 (3.5),8th,2.095 (3),21.5,,2,2,Human Torch,Mr. Fantastic,Human Torch,Mr. Fantastic,Second attempt,4,4/5,Fun! Felt good about my choices.
,,7,ItStartsWith1,19,42,61,1st,Yes (6.5),4th,22 (6),5th,3 (3.5),6th,2.773 (5),21,,23,5,Invisible Woman,Rogue,Invisible Woman,Rogue,Second attempt,4,4/5,"First game was so lucky and unlucky at the same time. I lost on timer on turn 21, despite buying 3 rares! Barely halfway through the Villain deck! Second was payback, with the right side double copying Berserker Rage on back to back turns to finish Moleman. Left side was a Thing recruit deck that held it down until the Wolvie and Rogue took off and finished it. Bummed by the 3 escapes, so tried to finish as quickly as possible."
,,8,jpilger,42,20,62,1st,Yes (6.5),7th,23 (4),5th,3 (3.5),7th,2.696 (4),18,,22,6,Human Torch,Nick Fury,Human Torch,Nick Fury,Second attempt,4,4/5,"Really want to rate the setup a 5, but want to see if other setups are as good or better.  I've been playing a lot of solo games, and gloomhaven has been my recent effort.  And it has been an effort.  It was awesome to get Legendary back on the table and be able to respond to the clarity of the deck-building mechanics.  Thanks for putting this league together."
,,9,freeclint & gnomemaster,24,22,46,9th,No (1.5),10th,29 (1),3rd,2 (7.5),10th,1.586 (1),11,,2,9,Human Torch,Gambit,Mr. Fantastic,Invisible Woman,First attempt,4,4/5,We got wrecked!  Mole man has never been this tough!
